removedSharedSourcePage,affectedRows,distinctIdentities,correction
https://www.seekinghealth.com/products/optimal-electrolyte/,14,12,REMOVED_AS_AUTHORITATIVE_SOURCE
https://www.natural-immunogenics.com/products/bio-active-copper-hydrosol-twist-top/,7,5,REMOVED_AS_AUTHORITATIVE_SOURCE
https://bioticscanada.com/product/bio-cardiozyme-forte/,6,6,REMOVED_AS_AUTHORITATIVE_SOURCE
https://bioticscanada.com/product/bio-multi-plus/,6,6,REMOVED_AS_AUTHORITATIVE_SOURCE
https://www.microingredients.com/products/vitamin-d3-k/,6,6,REMOVED_AS_AUTHORITATIVE_SOURCE
https://www.natural-immunogenics.com/products/bio-active-silver-hydrosol-twist-top/,6,6,REMOVED_AS_AUTHORITATIVE_SOURCE
https://www.nutramedix.com/products/cowden-support-program/,6,6,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/digestzymes-90-veggie-caps-designs-for-health/,6,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/magnesium-malate-120-capsules-designs-for-health/,6,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://www.healthyplanetcanada.com/en/genestra-hmf-intensive-powder-30g.html/,5,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://www.microingredients.com/products/astaxanthin-softgel/,5,5,REMOVED_AS_AUTHORITATIVE_SOURCE
https://www.seroyal.com/berberis-formula-1.html/,5,5,REMOVED_AS_AUTHORITATIVE_SOURCE
https://www.seroyal.com/hmf-forte-1.html/,5,5,REMOVED_AS_AUTHORITATIVE_SOURCE
https://www.seroyal.com/liquid-iron-us.html/,5,5,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/b-supreme-60-veg-caps-designs-for-health/,5,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/catecholacalm-90-veg-caps-designs-for-health/,5,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/chromium-synergy-90-vegetarian-capsules-designs-for-health/,5,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/complete-mineral-complex-90-caps-designs-for-health/,5,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/curcumin-500-with-bioperine-60-veg-caps-pure-encapsulations/,5,5,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/histaquel-120-caps-researched-nutritionals-soi/,5,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/immunitone-plus-120-veg-caps-designs-for-health-soi/,5,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/iodine-synergy-120-vegetarian-capsules-designs-for-health/,5,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/liposomal-glutathione-1-7-fl-oz-designs-for-health/,5,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/liposomal-vitamin-c-4-fl-oz-designs-for-health/,5,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/magnesium-buffered-glycinate-chelate-120-vegetarian-capsules-designs-for-health-soi/,5,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/mito-pqq-60-capsules-designs-for-health/,5,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/mitochondrial-nrg-120-caps-designs-for-health/,5,3,REMOVED_AS_AUTHORITATIVE_SOURCE
