brand,officialDomain,evidenceWeight
A Vogel (BioForce),avogel.co.uk,63
Activated Probiotics,activatedprobiotics.com.au,22
Amy Myers MD,amymyersmd.com,5
Ancient + Brave,ancientandbrave.earth,30
Ancient Nutrition,ancientnutrition.com,112
AOR,aor.ca,141
AOR Professional,aor.ca,29
Apex Botanicals,apexbotanicals.com,1492
Apex Energetics,apexenergetics.com,239
Artah,artah.co,20
Arthur Andrew Medical,arthurandrew.com,3
Atrium Pro,seroyal.com,159
Bare Biology,barebiology.com,20
Beyond Balance,abundantlifenutrients.com,33
Beyond Balance,peakhealthshop.com,2
Bio-Kult,bio-kult.com,14
Bio-Strath,bio-strath.com,1
Bioclinic Naturals,healthyplanetcanada.com,2
Biotics Research,bioticscanada.com,325
Body Bio,bodybio.com,47
BodyHealth,bodyhealth.com,26
CanPrev,canprev.ca,392
Cellcore,cellcore.com,28
CellCore Bioscience,cellcore.com,2
CellCore Biosciences,cellcore.com,62
Celt Naturals,celtnaturals.com,2
Citricidal / NutriBiotic,nutribiotic.com,3
Codeage,codeage.com,119
Cytomatrix,cytomatrix.ca,276
Cytoplan,cytoplan.co.uk,10
DesBio,desbio.com,485
Designs for Health,designsforhealth.com,6
Ecotrend,provita.ca,62
Ecotrend,homeocan.ca,41
Ecotrend,hyalogic.com,29
Ecotrend,refreshbotanicals.com,25
Ecotrend,staywyldorganics.com,17
Ecotrend,domatcha.com,15
Ecotrend,adeeva.com,11
Ecotrend,activatedprobiotics.com.au,10
Ecotrend,natural-immunogenics.com,6
EuroMedica,euromedicausa.com,2
FutureYou Cambridge,futureyouhealth.com,20
Gaia Herbs,gaiaherbs.com,1
Global Healing Center,globalhealing.com,31
Harmonic Arts,harmonicarts.ca,176
Heiltropfen,heiltropfen.com,68
Hifas da Terra,hifasdaterra.com,15
Hyalogic,hyalogic.com,14
InfiniWell,infiniwell.com,27
Integrative Therapeutics,integrativepro.com,1
Invivo Healthcare,invivohealthcare.com,20
Life Extension,lifeextension.com,365
Metagenics,metagenicscanada.com,78
Micro Ingredients,microingredients.com,336
Microbiome Labs,microbiomelabs.com,1
Neurogan Health,neuroganhealth.com,44
New Roots Herbal,newrootsherbal.com,6
NFH,nfh.ca,292
NutraMedix,nutramedix.com,3
"NutraMedix, LLC",nutramedix.com,6
Nutrined,nutrined.com,85
Orange Naturals,orangenaturals.com,170
Ortho Molecular,orthomolecularproducts.com,242
Ortho Molecular Products,orthomolecularproducts.com,4
PatchMD,patchmd.com,32
Priority One,priorityonevitamins.com,5
Priority One Supplements,priorityonevitamins.com,35
Quicksilver Scientific,quicksilverscientific.com,2
Real Mushrooms,realmushrooms.com,56
Seeking Health,seekinghealth.com,11
Seroyal/Genestra,seroyal.com,471
Supreme Nutrition,supremenutritionproducts.com,35
Supreme Nutrition Products,supremenutritionproducts.com,14
Thorne,thorne.com,18
Trace Minerals Research,traceminerals.com,110
Vita Aid,vitaaid.com,261
Vita Aid Professional Therapeutics,vitaaid.com,41
Vitanica,vitanica.com,2
Xymogen,xymogen.com,1
