batchIndex,immutableKey,brand,productName,size,format,sku,removedSharedSourcePage,officialDomains,variantSpecificSearchQuery,requiredResolution,targetJpgPath
4,ca:ancient-minerals-magnesium-bath-flakes-ultra-b110107f:0,Ancient Minerals,Magnesium Bath Flakes ULTRA,750g,Weight,,https://yourhealthbasket.co.uk/product/magnesium-bath-flakes-ultra-750g-ancient-minerals/,,"""Ancient Minerals"" ""Magnesium Bath Flakes ULTRA"" ""750g"" ""Weight"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/7962d5554bde3e59fed7d218.jpg
10,ca:ancient-minerals-magnesium-oil-a5c5509f:0,Ancient Minerals,Magnesium Oil,1 l,Liquid,,https://yourhealthbasket.co.uk/product/magnesium-oil-1-litre-ancient-minerals/,,"""Ancient Minerals"" ""Magnesium Oil"" ""1 l"" ""Liquid"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/83dcd243eccfa233b8ae909e.jpg
13,ca:aor-5-htp-0922680d:0,AOR,5-HTP,90 caps,Capsules,,https://aor.ca/product/5-htp/,aor.ca,"""AOR"" ""5-HTP"" ""90 caps"" ""Capsules"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/0a1de3685c5ad9aa89e90aba.jpg
14,ca:aor-5-htp-extra-strength-c74d354b:0,AOR,5-HTP Extra Strength,90 caps,Capsules,,https://aor.ca/product/5-htp/,aor.ca,"""AOR"" ""5-HTP Extra Strength"" ""90 caps"" ""Capsules"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/aa916860f7d239f95a15cdd5.jpg
15,ca:aor-acta-resveratrol-4fe964da:0,AOR,Acta-Resveratrol,90 caps,Capsules,,https://aor.ca/product/acta-resveratrol/,aor.ca,"""AOR"" ""Acta-Resveratrol"" ""90 caps"" ""Capsules"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/7ad743e50d8f5ee6f0e0430c.jpg
16,ca:aor-active-green-tea-43264080:0,AOR,Active Green Tea,180 caps,Capsules,,https://aor.ca/product/active-green-tea/,aor.ca,"""AOR"" ""Active Green Tea"" ""180 caps"" ""Capsules"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/c522a08cf09b451557166b2c.jpg
17,ca:aor-advanced-b-complex-2fe9c151:0,AOR,Advanced B Complex,90 caps,Capsules,,https://aor.ca/product/advanced-b-complex/,aor.ca,"""AOR"" ""Advanced B Complex"" ""90 caps"" ""Capsules"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/bf83416f859ecb1858134578.jpg
18,ca:aor-advanced-b-complex-ultra-8c910f21:0,AOR,Advanced B Complex Ultra,60 tabs,Tablets,,https://aor.ca/product/advanced-b-complex-ultra/,aor.ca,"""AOR"" ""Advanced B Complex Ultra"" ""60 tabs"" ""Tablets"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/08e1795a19281a80e5b8229e.jpg
19,ca:aor-advanced-bone-protection-8f448118:0,AOR,Advanced Bone Protection,30 caps,Capsules,,https://aor.ca/product/advanced-bone-protection/,aor.ca,"""AOR"" ""Advanced Bone Protection"" ""30 caps"" ""Capsules"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/c48a521fe19fe29f72301ab5.jpg
20,ca:aor-advanced-magnesium-complex-a350aaa8:0,AOR,Advanced Magnesium Complex,90 caps,Capsules,,https://aor.ca/product/advanced-magnesium-complex/,aor.ca,"""AOR"" ""Advanced Magnesium Complex"" ""90 caps"" ""Capsules"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/acca9904624b43b076f0c4f8.jpg
21,ca:aor-advanced-pcos-relief-6e394c20:0,AOR,Advanced PCOS Relief,120 softgels,Softgels,,https://aor.ca/product/advanced-pcos-relief/,aor.ca,"""AOR"" ""Advanced PCOS Relief"" ""120 softgels"" ""Softgels"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/d20ad717adf780ed61517405.jpg
23,ca:aor-ahcc-916917ba:0,AOR,AHCC,60 caps,Capsules,,https://aor.ca/product/ahcc/,aor.ca,"""AOR"" ""AHCC"" ""60 caps"" ""Capsules"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/f2f2f0e27f8b915a7ae8d3cb.jpg
24,ca:aor-ahiflower-oil-48c27ea4:0,AOR,Ahiflower Oil,90 softgels,Softgels,,https://aor.ca/product/ahiflower-oil/,aor.ca,"""AOR"" ""Ahiflower Oil"" ""90 softgels"" ""Softgels"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/ea50b726dab43026870d2fbb.jpg
25,ca:aor-alcar-1adf0316:0,AOR,ALCAR,120 caps,Capsules,,https://aor.ca/product/alcar/,aor.ca,"""AOR"" ""ALCAR"" ""120 caps"" ""Capsules"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/818e997304f80ab035cbddd2.jpg
26,ca:aor-all-life-colostrum-99eabdf8:0,AOR,All-Life Colostrum,120 caps,Capsules,,https://aor.ca/product/all-life-colostrum/,aor.ca,"""AOR"" ""All-Life Colostrum"" ""120 caps"" ""Capsules"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/5dae4048fee0b5d87c53da0a.jpg
27,ca:aor-andrographis-1e286efe:0,AOR,Andrographis,120 caps,Capsules,,https://aor.ca/product/andrographis/,aor.ca,"""AOR"" ""Andrographis"" ""120 caps"" ""Capsules"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/8cd025a5f810e507bd5e0873.jpg
28,ca:aor-aor-zymes-b39d1797:0,AOR,AOR Zymes,100 caps,Capsules,,https://aor.ca/product/aor-zymes/,aor.ca,"""AOR"" ""AOR Zymes"" ""100 caps"" ""Capsules"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/a55d1a9f898986e05b745c7b.jpg
