immutableKey,approvedDirectImageUrl,approvedSourcePageUrl,exactVariantConfirmed,reviewer,evidenceNote
ca:ancient-minerals-magnesium-oil-ultra-2ecf7d82:0,http://ancient-minerals.com/cdn/shop/files/AMOU-8_fb8df5e0-7b51-45a2-b14c-47dc195d5c6f.png?v=1770049953,https://www.ancient-minerals.com/product/magnesium-oil-ultra/,false,manual-audit,Manually audited CA product image
ca:aor-acta-resveratrol-4fe964da:0,https://aor.ca/wp-content/uploads/2023/01/AOR04142-Acta-Resveratrol.png,https://aor.ca/product/acta-resveratrol/,false,manual-audit,Manually audited CA product image
ca:aor-active-green-tea-43264080:0,https://aor.ca/wp-content/uploads/2023/01/AOR04067-Active-Green-Tea-90s-1.png,https://aor.ca/product/active-green-tea/,false,manual-audit,Manually audited CA product image
ca:aor-advanced-b-complex-2fe9c151:0,https://aor.ca/wp-content/uploads/2023/01/AOR04167-Advanced-B-Complex.png,https://aor.ca/product/advanced-b-complex/,false,manual-audit,Manually audited CA product image
ca:aor-advanced-b-complex-ultra-8c910f21:0,https://aor.ca/wp-content/uploads/2023/01/AOR04001-Advanced-B-Complex-Ultra.png,https://aor.ca/product/advanced-b-complex-ultra/,false,manual-audit,Manually audited CA product image
ca:aor-advanced-bone-protection-8f448118:0,https://aor.ca/wp-content/uploads/2023/01/AOR04111-Advanced-Bone-Protection30s.png,https://aor.ca/product/advanced-bone-protection/,false,manual-audit,Manually audited CA product image
ca:aor-advanced-magnesium-complex-a350aaa8:0,https://aor.ca/wp-content/uploads/2023/01/AOR04333-Advanced-Magnesium-Complex-90s.png,https://aor.ca/product/advanced-magnesium-complex/,false,manual-audit,Manually audited CA product image
ca:aor-advanced-pcos-relief-6e394c20:0,https://aor.ca/wp-content/uploads/2023/01/AOR04366-Advanced-PCOS-Relief-120s.png,https://aor.ca/product/advanced-pcos-relief/,false,manual-audit,Manually audited CA product image
ca:aor-ahcc-916917ba:0,https://aor.ca/wp-content/uploads/2023/01/AOR04314-AHCC-60s.png,https://aor.ca/product/ahcc/,false,manual-audit,Manually audited CA product image
ca:aor-ahiflower-oil-48c27ea4:0,https://aor.ca/wp-content/uploads/2024/05/AOR04484-AhiFlower-oil.png,https://aor.ca/product/ahiflower-oil/,false,manual-audit,Manually audited CA product image
ca:aor-alcar-1adf0316:0,https://aor.ca/wp-content/uploads/2023/01/AOR04271-Alcar-120s.png,https://aor.ca/product/alcar/,false,manual-audit,Manually audited CA product image
ca:aor-all-life-colostrum-99eabdf8:0,https://aor.ca/wp-content/uploads/2023/01/AOR04295-All-Life-Colostrum-120s-3.png,https://aor.ca/product/all-life-colostrum/,false,manual-audit,Manually audited CA product image
ca:aor-andrographis-1e286efe:0,https://aor.ca/wp-content/uploads/2023/01/AOR04303-Andrographis.png,https://aor.ca/product/andrographis/,false,manual-audit,Manually audited CA product image
ca:aor-aor-zymes-b39d1797:0,https://aor.ca/wp-content/uploads/2023/01/AOR04109-AOR-Zymes.png,https://aor.ca/product/aor-zymes/,false,manual-audit,Manually audited CA product image
ca:aor-arginine-3f3e2864:0,https://aor.ca/wp-content/uploads/2023/01/AOR04054-Arginine.png,https://aor.ca/product/arginine/,false,manual-audit,Manually audited CA product image
ca:aor-bacopa-enlighten-c15d0994:0,https://aor.ca/wp-content/uploads/2023/01/AOR04025-Bacopa-Enlighten-180s.png,https://aor.ca/product/bacopa-enlighten/,false,manual-audit,Manually audited CA product image
ca:aor-bcaa-4ee93f84:0,https://aor.ca/wp-content/uploads/2023/01/AOR-04278-BCAA-750cc-Render-Front-CAN-NV02.10.png,https://aor.ca/product/bcaa/,false,manual-audit,Manually audited CA product image
ca:aor-benfotiamine-04e3a2be:0,https://aor.ca/wp-content/uploads/2023/01/AOR04051-Benfotiamine-120s.png,https://aor.ca/product/benfotiamine/,false,manual-audit,Manually audited CA product image
ca:aor-berberine-403b489b:0,https://aor.ca/wp-content/uploads/2023/11/AOR-04482-Berberine-150cc-wraparound-Render-Front-CAN-NV03.00.png,https://aor.ca/product/berberine/,false,manual-audit,Manually audited CA product image
ca:aor-biofolate-76fe67fb:0,https://aor.ca/wp-content/uploads/2023/01/AOR04176-Biofolate-30s-1.png,https://aor.ca/product/biofolate/,false,manual-audit,Manually audited CA product image
